Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x296019e43bba5d3b60fe8d5add863d422d3a29992d0e68ca5b1a90031b9cd638","Success","Approve","23497338","2025-10-03 12:45:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xd7c3fc198bd7a50b99629cfe302006e9224f087b","Pendle: YT-alUSD-23OCT2025 Token","0 ETH","$0.00","0.00001403"
"0x95a89edc9df4d5647d0031a62c4c4ffda41375317d65274aa61a6eb8bc526c50","Success","Swap Exact Token For Yt","23493656","2025-10-03 00:25:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0.0671 ETH","$260.44","0.00012046"
"0xdef15e4df8b4308f936f3cb6c12f6af0d8dbc919e64061fbad54e744fafe2e5b","Success","Transfer","23493637","2025-10-03 00:21:11","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.067223276 ETH","$260.92","0.0000054"
"0x7269dde5146172461712fdcacf3d676418d759c4bb6efce3cbe5c6597b5770cd","Success","Transfer","23493632","2025-10-03 00:20:11","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.000404486 ETH","$1.57","0.000005"
"0xe905b967fa7c1a7157cf60ddd311d07492ad8ed7161e52c2106e0b932d998f4b","Success","Swap And Start Bridge Tokens Via Gas Zip","23426012","2025-09-23 13:24:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae","LI.FI: LiFi Diamond","0.146956992 ETH","$570.40","0.00009641"
"0x3c02b682ed6548e4ca30d979eecbdc7b50f30674a7a24e9e5fc1906d6b71ff82","Success","Swap","23419225","2025-09-22 14:40:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x111111125421ca6dc452d289314280a0f8842a65","1inch: Aggregation Router V6","0 ETH","$0.00","0.00066481"
"0x21f7174a1d2ac64c5d452f5ecd15cf4a58da05a00b4c8891506a18fa7982e269","Success","Approve","23419224","2025-09-22 14:40:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00009082"
"0x264d48124924d8f11a1f3f3513c4851c96ed22319fb8c22f1e101b2c031c5913","Success","Swap Exact Yt For Token","23404031","2025-09-20 11:38:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00005569"
"0xd1930b72f735c436dbb2269fc89a50ca9a533c35e1256d60ab8155744a9c9387","Success","Approve","23404028","2025-09-20 11:37:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x06f946d590010eab6a5556ad29d9979eb1a7fa3a","Pendle: YT-cUSD-29JAN2026 Token","0 ETH","$0.00","0.00000891"
"0x1c1f9f357bb5d73df19800a4b098af944a4e062fdbb5742ce6b9f20f0c37ef4c","Success","Approve","23398504","2025-09-19 17:05:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00004675"
